Table with row headings in column A and column headings in row 4.,,,,,,
state,pop,num_pov,st_err_num,pct_pov,st_err_pct,Year
Nebraska,1760,167,19,9.5,1.09,
Nevada,2447,260,29,10.6,1.17,
New Hampshire,1298,73,11,5.6,0.86,
New Jersey,8692,592,57,6.8,0.66,
New Mexico,1938,347,29,17.9,1.52,
New York,18995,2760,121,14.5,0.64,
North Carolina,8538,1115,75,13.1,0.88,
North Dakota,625,70,7,11.2,1.16,
Ohio,11310,1392,84,12.3,0.74,
Oklahoma,3486,543,47,15.6,1.35,
Oregon,3619,436,45,12,1.25,
Pennsylvania,12237,1372,84,11.2,0.68,
Rhode Island,1052,127,13,12.1,1.26,
South Carolina,4164,626,55,15,1.31,
South Dakota,765,90,8,11.8,1.11,
Tennessee,5853,872,65,14.9,1.11,
Texas,22777,3681,144,16.2,0.63,
Utah,2521,232,24,9.2,0.97,
Vermont,621,47,6,7.6,1.04,
Virginia,7442,684,60,9.2,0.8,
Washington,6237,636,59,10.2,0.94,
West Virginia,1795,276,22,15.4,1.22,
Wisconsin,5440,553,54,10.2,0.99,
Wyoming,509,54,6,10.6,1.22,
Alabama,4508,762,59,16.9,1.31,2004
Alaska,648,59,7,9.1,1.1,
Arizona,5763,830,68,14.4,1.18,
Arkansas,2723,412,35,15.1,1.3,
California,35772,4724,165,13.2,0.46,
Colorado,4517,450,51,10,1.12,
Connecticut,3487,352,38,10.1,1.1,
Delaware,825,74,9,9,1.07,
D.C.,545,93,9,17,1.57,
Florida,17419,2028,103,11.6,0.59,
Georgia,8700,1132,75,13,0.86,
Hawaii,1244,106,12,8.6,0.98,
Idaho,1372,136,15,9.9,1.11,
Illinois,12563,1546,90,12.3,0.72,
Indiana,6121,712,60,11.6,0.98,
Iowa,2901,316,34,10.9,1.17,
Kansas,2669,304,32,11.4,1.21,
Kentucky,4068,723,57,17.8,1.41,
Louisiana,4419,744,58,16.8,1.33,
Maine,1290,149,17,11.6,1.28,
Maryland,5539,550,54,9.9,0.98,
Massachusetts,6363,594,55,9.3,0.86,
Michigan,9939,1318,81,13.3,0.82,
Minnesota,5120,356,43,7,0.85,
Mississippi,2862,536,40,18.7,1.41,
Missouri,5609,686,60,12.2,1.06,
Montana,908,129,12,14.2,1.3,
Nebraska,1724,163,19,9.5,1.1,
Nevada,2385,260,29,10.9,1.2,
New Hampshire,1291,71,11,5.5,0.85,
New Jersey,8652,693,61,8,0.71,
New Mexico,1899,314,28,16.5,1.49,
New York,19010,2847,122,15,0.64,
North Carolina,8421,1229,79,14.6,0.93,
North Dakota,627,61,7,9.7,1.09,
Ohio,11259,1304,81,11.6,0.72,
Oklahoma,3444,373,40,10.8,1.16,
Oregon,3572,421,45,11.8,1.25,
Pennsylvania,12142,1383,84,11.4,0.69,
Rhode Island,1055,122,13,11.5,1.24,
South Carolina,4120,615,54,14.9,1.31,
South Dakota,751,102,9,13.5,1.18,
Tennessee,5846,932,67,15.9,1.14,
Texas,22288,3669,144,16.5,0.65,
Utah,2390,241,25,10.1,1.04,
Vermont,616,48,7,7.8,1.06,
Virginia,7369,693,60,9.4,0.81,
Washington,6116,700,61,11.4,1,
West Virginia,1791,254,21,14.2,1.18,
Wisconsin,5456,676,59,12.4,1.08,
Wyoming,496,50,6,10,1.2,
Alabama,4417,663,56,15,1.17,2003
Alaska,643,62,6,9.6,0.93,
Arizona,5558,749,70,13.5,1.17,
Arkansas,2670,474,39,17.8,1.34,
California,35309,4634,198,13.1,0.53,
Colorado,4478,436,40,9.7,0.85,
Connecticut,3417,278,28,8.1,0.79,
Delaware,818,60,7,7.3,0.86,
D.C.,550,92,8,16.8,1.37,
Florida,16884,2148,114,12.7,0.63,
Georgia,8559,1014,94,11.9,1.03,
Hawaii,1250,117,12,9.3,0.95,
Idaho,1356,138,15,10.2,1.03,
Illinois,12616,1592,95,12.6,0.71,
Indiana,6130,610,54,9.9,0.83,
