year,st,gen_pos
1992,MN,72.5490196078
1992,MO,35.2941176471
1992,MS,3.92156862745
1992,MT,29.4117647059
1992,NC,25.4901960784
1992,ND,66.6666666667
1992,NE,56.862745098
1992,NH,100.0
1992,NJ,90.1960784314
1992,NM,1.96078431373
1992,NV,13.7254901961
1992,NY,94.1176470588
1992,OH,68.6274509804
1992,OK,7.8431372549
1992,OR,33.3333333333
1992,PA,78.431372549
1992,RI,92.1568627451
1992,SC,23.5294117647
1992,SD,27.4509803922
1992,TN,58.8235294118
1992,TX,15.6862745098
1992,UT,45.0980392157
1992,VA,52.9411764706
1992,VT,82.3529411765
1992,WA,76.4705882353
1992,WI,74.5098039216
1992,WV,39.2156862745
1992,WY,43.137254902
1993,AK,92.1568627451
1993,AL,15.6862745098
1993,AR,11.7647058824
1993,AZ,17.6470588235
1993,CA,21.568627451
1993,CO,49.0196078431
1993,CT,98.0392156863
1993,DC,86.2745098039
1993,DE,64.7058823529
1993,FL,7.8431372549
1993,GA,50.9803921569
1993,HI,80.3921568627
1993,IA,60.7843137255
1993,ID,5.88235294118
1993,IL,47.0588235294
1993,IN,74.5098039216
1993,KS,41.1764705882
1993,KY,23.5294117647
1993,LA,52.9411764706
1993,MA,94.1176470588
1993,MD,76.4705882353
1993,ME,82.3529411765
1993,MI,54.9019607843
1993,MN,84.3137254902
1993,MO,37.2549019608
1993,MS,3.92156862745
1993,MT,29.4117647059
1993,NC,58.8235294118
1993,ND,72.5490196078
1993,NE,62.7450980392
1993,NH,88.2352941176
1993,NJ,90.1960784314
1993,NM,9.80392156863
1993,NV,43.137254902
1993,NY,96.0784313725
1993,OH,66.6666666667
1993,OK,1.96078431373
1993,OR,33.3333333333
1993,PA,70.5882352941
1993,RI,100.0
1993,SC,27.4509803922
1993,SD,31.3725490196
1993,TN,35.2941176471
1993,TX,19.6078431373
1993,UT,25.4901960784
1993,VA,39.2156862745
1993,VT,78.431372549
1993,WA,68.6274509804
1993,WI,56.862745098
1993,WV,45.0980392157
1993,WY,13.7254901961
1994,AK,76.4705882353
1994,AL,13.7254901961
1994,AR,29.4117647059
1994,AZ,9.80392156863
1994,CA,11.7647058824
1994,CO,45.0980392157
1994,CT,92.1568627451
1994,DC,84.3137254902
1994,DE,82.3529411765
1994,FL,19.6078431373
1994,GA,41.1764705882
1994,HI,80.3921568627
1994,IA,58.8235294118
1994,ID,7.8431372549
1994,IL,52.9411764706
1994,IN,43.137254902
1994,KS,15.6862745098
1994,KY,25.4901960784
1994,LA,62.7450980392
1994,MA,98.0392156863
1994,MD,68.6274509804
1994,ME,94.1176470588
1994,MI,39.2156862745
1994,MN,74.5098039216
1994,MO,35.2941176471
1994,MS,21.568627451
1994,MT,47.0588235294
1994,NC,31.3725490196
1994,ND,70.5882352941
1994,NE,66.6666666667
1994,NH,100.0
1994,NJ,86.2745098039
1994,NM,1.96078431373
1994,NV,17.6470588235
1994,NY,90.1960784314
1994,OH,50.9803921569
1994,OK,3.92156862745
1994,OR,33.3333333333
1994,PA,72.5490196078
1994,RI,96.0784313725
1994,SC,60.7843137255
1994,SD,27.4509803922
1994,TN,49.0196078431
1994,TX,5.88235294118
1994,UT,37.2549019608
1994,VA,23.5294117647
1994,VT,88.2352941176
1994,WA,64.7058823529
1994,WI,78.431372549
1994,WV,56.862745098
1994,WY,54.9019607843
1995,AK,86.2745098039
1995,AL,7.8431372549
1995,AR,31.3725490196
1995,AZ,9.80392156863
1995,CA,21.568627451
1995,CO,70.5882352941
1995,CT,96.0784313725
1995,DC,74.5098039216
1995,DE,68.6274509804
1995,FL,13.7254901961
1995,GA,45.0980392157
1995,HI,82.3529411765
1995,IA,33.3333333333
1995,ID,5.88235294118
1995,IL,54.9019607843
1995,IN,58.8235294118
1995,KS,37.2549019608
1995,KY,39.2156862745
1995,LA,62.7450980392
1995,MA,92.1568627451
1995,MD,64.7058823529
1995,ME,88.2352941176
1995,MI,47.0588235294
1995,MN,84.3137254902
1995,MO,80.3921568627
1995,MS,11.7647058824
1995,MT,23.5294117647
1995,NC,60.7843137255
1995,ND,43.137254902
1995,NE,49.0196078431
1995,NH,100.0
1995,NJ,98.0392156863
1995,NM,1.96078431373
1995,NV,19.6078431373
1995,NY,90.1960784314
1995,OH,72.5490196078
1995,OK,3.92156862745
1995,OR,52.9411764706
1995,PA,66.6666666667
1995,RI,94.1176470588
1995,SC,15.6862745098
1995,SD,27.4509803922
1995,TN,41.1764705882
1995,TX,17.6470588235
1995,UT,35.2941176471
1995,VA,29.4117647059
1995,VT,78.431372549
1995,WA,56.862745098
1995,WI,76.4705882353
1995,WV,50.9803921569
1995,WY,25.4901960784
1996,AK,84.3137254902
1996,AL,33.3333333333
1996,AR,11.7647058824
1996,AZ,1.96078431373
1996,CA,17.6470588235
1996,CO,31.3725490196
1996,CT,90.1960784314
1996,DC,78.431372549
1996,DE,86.2745098039
1996,FL,21.568627451
1996,GA,27.4509803922
1996,HI,56.862745098
1996,IA,58.8235294118
1996,ID,13.7254901961
1996,IL,54.9019607843
1996,IN,82.3529411765
1996,KS,23.5294117647
1996,KY,29.4117647059
1996,LA,41.1764705882
1996,MA,98.0392156863
1996,MD,70.5882352941
1996,ME,94.1176470588
1996,MI,68.6274509804
1996,MN,80.3921568627
1996,MO,76.4705882353
1996,MS,15.6862745098
1996,MT,7.8431372549
1996,NC,66.6666666667
1996,ND,60.7843137255
1996,NE,49.0196078431
1996,NH,100.0
1996,NJ,88.2352941176
1996,NM,3.92156862745
1996,NV,35.2941176471
1996,NY,96.0784313725
1996,OH,52.9411764706
1996,OK,5.88235294118
1996,OR,43.137254902
1996,PA,74.5098039216
1996,RI,92.1568627451
1996,SC,50.9803921569
1996,SD,45.0980392157
1996,TN,39.2156862745
1996,TX,19.6078431373
1996,UT,47.0588235294
1996,VA,9.80392156863
1996,VT,64.7058823529
1996,WA,62.7450980392
1996,WI,72.5490196078
1996,WV,37.2549019608
1996,WY,25.4901960784
1997,AK,82.3529411765
1997,AL,29.4117647059
1997,AR,9.80392156863
1997,AZ,1.96078431373
1997,CA,23.5294117647
1997,CO,56.862745098
1997,CT,100.0
1997,DC,92.1568627451
1997,DE,70.5882352941
1997,FL,21.568627451
1997,GA,25.4901960784
1997,HI,33.3333333333
1997,IA,50.9803921569
1997,ID,3.92156862745
1997,IL,60.7843137255
1997,IN,58.8235294118
1997,KS,41.1764705882
1997,KY,43.137254902
1997,LA,47.0588235294
1997,MA,86.2745098039
1997,MD,80.3921568627
1997,ME,98.0392156863
1997,MI,68.6274509804
1997,MN,72.5490196078
1997,MO,62.7450980392
1997,MS,37.2549019608
1997,MT,15.6862745098
1997,NC,64.7058823529
1997,ND,35.2941176471
1997,NE,54.9019607843
1997,NH,84.3137254902
1997,NJ,90.1960784314
1997,NM,5.88235294118
1997,NV,7.8431372549
1997,NY,96.0784313725
1997,OH,66.6666666667
1997,OK,11.7647058824
1997,OR,39.2156862745
1997,PA,76.4705882353
1997,RI,94.1176470588
1997,SC,45.0980392157
1997,SD,17.6470588235
1997,TN,52.9411764706
1997,TX,19.6078431373
1997,UT,31.3725490196
1997,VA,13.7254901961
1997,VT,88.2352941176
1997,WA,74.5098039216
1997,WI,78.431372549
1997,WV,49.0196078431
1997,WY,27.4509803922
1998,AK,72.5490196078
1998,AL,31.3725490196
1998,AR,29.4117647059
1998,AZ,1.96078431373
1998,CA,27.4509803922
1998,CO,49.0196078431
1998,CT,98.0392156863
1998,DC,88.2352941176
1998,DE,58.8235294118
1998,FL,15.6862745098
1998,GA,17.6470588235
1998,HI,50.9803921569
1998,IA,62.7450980392
1998,ID,3.92156862745
1998,IL,64.7058823529
1998,IN,54.9019607843
1998,KS,45.0980392157
1998,KY,56.862745098
1998,LA,33.3333333333
1998,MA,100.0
1998,MD,86.2745098039
1998,ME,92.1568627451
1998,MI,60.7843137255
1998,MN,70.5882352941
1998,MO,76.4705882353
1998,MS,21.568627451
1998,MT,5.88235294118
1998,NC,47.0588235294
1998,ND,23.5294117647
1998,NE,39.2156862745
1998,NH,78.431372549
1998,NJ,90.1960784314
1998,NM,9.80392156863
1998,NV,7.8431372549
1998,NY,96.0784313725
1998,OH,68.6274509804
1998,OK,11.7647058824
1998,OR,19.6078431373
1998,PA,80.3921568627
1998,RI,94.1176470588
1998,SC,41.1764705882
1998,SD,52.9411764706
1998,TN,66.6666666667
1998,TX,13.7254901961
1998,UT,25.4901960784
1998,VA,37.2549019608
1998,VT,84.3137254902
1998,WA,82.3529411765
1998,WI,74.5098039216
1998,WV,43.137254902
1998,WY,35.2941176471
1999,AK,84.3137254902
1999,AL,21.568627451
1999,AR,23.5294117647
1999,AZ,9.80392156863
1999,CA,33.3333333333
1999,CO,45.0980392157
1999,CT,100.0
1999,DC,98.0392156863
1999,DE,56.862745098
1999,FL,15.6862745098
1999,GA,19.6078431373
1999,HI,35.2941176471
1999,IA,70.5882352941
1999,ID,7.8431372549
1999,IL,49.0196078431
1999,IN,74.5098039216
1999,KS,25.4901960784
1999,KY,58.8235294118
1999,LA,27.4509803922
1999,MA,76.4705882353
1999,MD,78.431372549
1999,ME,86.2745098039
1999,MI,66.6666666667
1999,MN,90.1960784314
1999,MO,54.9019607843
1999,MS,29.4117647059
1999,MT,3.92156862745
1999,NC,39.2156862745
1999,ND,31.3725490196
1999,NE,50.9803921569
1999,NH,82.3529411765
1999,NJ,92.1568627451
1999,NM,5.88235294118
1999,NV,1.96078431373
1999,NY,96.0784313725
1999,OH,47.0588235294
1999,OK,13.7254901961
1999,OR,37.2549019608
1999,PA,88.2352941176
1999,RI,94.1176470588
1999,SC,52.9411764706
1999,SD,72.5490196078
1999,TN,64.7058823529
1999,TX,11.7647058824
1999,UT,62.7450980392
1999,VA,41.1764705882
1999,VT,80.3921568627
1999,WA,68.6274509804
1999,WI,60.7843137255
1999,WV,43.137254902
1999,WY,17.6470588235
2000,AK,90.1960784314
2000,AL,27.4509803922
2000,AR,11.7647058824
2000,AZ,13.7254901961
2000,CA,35.2941176471
2000,CO,23.5294117647
2000,CT,98.0392156863
2000,DC,82.3529411765
2000,DE,74.5098039216
2000,FL,19.6078431373
2000,GA,21.568627451
2000,HI,47.0588235294
2000,IA,66.6666666667
2000,ID,9.80392156863
2000,IL,45.0980392157
2000,IN,64.7058823529
2000,KS,60.7843137255
2000,KY,50.9803921569
2000,LA,25.4901960784
2000,MA,88.2352941176
2000,MD,76.4705882353
2000,ME,80.3921568627
2000,MI,68.6274509804
2000,MN,96.0784313725
2000,MO,72.5490196078
2000,MS,31.3725490196
2000,MT,7.8431372549
2000,NC,41.1764705882
2000,ND,56.862745098
2000,NE,70.5882352941
2000,NH,100.0
2000,NJ,84.3137254902
2000,NM,15.6862745098
2000,NV,5.88235294118
2000,NY,94.1176470588
2000,OH,62.7450980392
2000,OK,3.92156862745
2000,OR,43.137254902
2000,PA,86.2745098039
2000,RI,92.1568627451
2000,SC,49.0196078431
2000,SD,37.2549019608
2000,TN,54.9019607843
2000,TX,1.96078431373
2000,UT,33.3333333333
2000,VA,29.4117647059
2000,VT,78.431372549
2000,WA,52.9411764706
2000,WI,58.8235294118
2000,WV,39.2156862745
2000,WY,17.6470588235
2001,AK,92.1568627451
2001,AL,13.7254901961
2001,AR,7.8431372549
2001,AZ,1.96078431373
2001,CA,37.2549019608
2001,CO,39.2156862745
2001,CT,100.0
2001,DC,78.431372549
2001,DE,90.1960784314
2001,FL,15.6862745098
2001,GA,29.4117647059
